position,company,low_wage,high_wage,mid_wage
.NET Dev,IN Team,6700.0,11800.0,9250.0
Junior SQL Dev,Andea,5000.0,8800.0,6900.0
Support Engineer,proALPHA Group,5000.0,10000.0,7500.0
InternshipIT,Grid Dynamics,3500.0,3500.0,3500.0
Junior Tester,YND,4500.0,6500.0,5500.0
Junior Front-end Dev,Printbox,4000.0,7000.0,5500.0
Junior Java Dev,Codibly,6800.0,11700.0,9250.0
Shopify Spec,Unity Group,4000.0,7000.0,5500.0
Intern Soft. Eng,Codewise,5500.0,5500.0,5500.0
Junior Java Dev,Unity Group,6700.0,11800.0,9250.0
Jr Soft. Eng,Semaphore,2996.0,5992.0,4494.0
WANNABE Data Eng,Datumo,8000.0,14000.0,11000.0
Jr React Native Dev,Printbox,5000.0,9500.0,7250.0
Java Dev,iView Recruitment,15000.0,17000.0,16000.0
Jr Full-stack,Synergity,4000.0,8000.0,6000.0
Programista aplikacyjny,Syriusz,6000.0,10000.0,8000.0
Junior Java Dev,braf.tech,10000.0,12000.0,11000.0
iOS Dev,Affirm,13000.0,16000.0,14500.0
Tech. Sup. Spec.,FTSP,4500.0,4500.0,4500.0
Junior Technical PM,YND,5000.0,6500.0,5750.0
Java Software Eng,Mikronika,7500.0,15000.0,11250.0
Junior Blockchain Dev,BlockLabs,6000.0,10000.0,8000.0
Jr Software Engineer,SR,8000.0,12000.0,10000.0
Jr Dev (Symfony),Codibly,7000.0,13000.0,10000.0
Android Dev,Affirm,13000.0,16000.0,14500.0
Junior Mobile Dev,Altkom,4200.0,6000.0,5100.0
Tech Support Spec,VOLT,9300.0,17500.0,13400.0
Junior Java Dev,Sollers,7000.0,11000.0,9000.0
Junior PHP Dev ,Droptica,5000.0,8500.0,6750.0
Junior Full Stack Dev,Ardigen,7000.0,10000.0,8500.0
Mł .NET,Altkom,4200.0,6000.0,5100.0
Junior PHP Dev,PIVE,4000.0,6000.0,5000.0
Intern.IT,Grid Dynamics,3500.0,3500.0,3500.0
Jr Java Game Dev,Z Management,5000.0,7000.0,6000.0
Internship IT,GridDynamics,3500.0,3500.0,3500.0
Tester Auto.,eDokumenty,5000.0,8000.0,6500.0
Junior .Net Dev,Coffee Mug,6000.0,8000.0,7000.0
Tester Auto.,eDokumenty,5000.0,8000.0,6500.0
Tester manualny ,eDokumenty,4000.0,7000.0,5500.0
Jr Mobile Dev ,skygate,4000.0,8000.0,6000.0
Tester Auto.,eDokumenty,5000.0,8000.0,6500.0
IoT Engineer,BEUMER,9800.0,12000.0,10900.0
Cloud Engineer,Datumo,8000.0,14000.0,11000.0
Intern React Native Dev,Miquido,4000.0,4000.0,4000.0
Junior AWS DevOps Eng,Reply,6000.0,12000.0,9000.0
Intern iOS Dev,Miquido,4000.0,4000.0,4000.0
Junior Java Dev,MPC,6000.0,8000.0,7000.0
IoT Engineer,BEUMER,9800.0,12000.0,10900.0
IoT Engineer,BEUMER,9800.0,12000.0,10900.0
Junior JS Dev,Smart-HR,8000.0,13000.0,10500.0
Jr Python Dev,skygate,4000.0,8000.0,6000.0
Junior PHP Dev,ARRIS,5000.0,8000.0,6500.0
Technical Serv,proALPHA Group,5000.0,10000.0,7500.0
Intern Software Tester,Miquido,4000.0,4000.0,4000.0
Junior Frontend Dev,ARRIS,4000.0,7000.0,5500.0
Project Manager ,skygate,3200.0,5000.0,4100.0
Intern Product Designer,Miquido,4000.0,4000.0,4000.0
SYSTEMS INTEGRATION ENGR,ARCHE,10000.0,16000.0,13000.0
Intern Flutter Dev,Miquido,4000.0,4000.0,4000.0
Tech Support Spec,VOLT,9300.0,17500.0,13400.0
Tester manualny ,eDokumenty,4000.0,7000.0,5500.0
Programista aplikacyjny,Syriusz,6000.0,10000.0,8000.0
JrNode.jsDev,The Software House,6000.0,8000.0,7000.0
Intern Android Dev,Miquido,4000.0,4000.0,4000.0
Junior System Admin,IT Develop,5000.0,8000.0,6500.0
Jr PHP Dev,The Software House,6000.0,8000.0,7000.0
Jr DevOps Eng,TSH,6000.0,8000.0,7000.0
Vue.js Dev (Junior ++),skygate,7000.0,9000.0,8000.0
IoT Engineer,BEUMER,9800.0,12000.0,10900.0
Tester man. ,eDokumenty,4000.0,7000.0,5500.0
Jr JS Dev,skygate,4000.0,8000.0,6000.0
Jr AWS DevOps Engineer,Reply,6000.0,12000.0,9000.0
Junior Node Dev,MPC,6000.0,8000.0,7000.0
Junior QA Embedded,Aether,5000.0,7000.0,6000.0
Java Software Eng,Mikronika,7500.0,15000.0,11250.0
Integration Eng,proALPHA,5500.0,11000.0,8250.0
Junior DevOps Engineer,Tenesys,7000.0,10000.0,8500.0
ABAP (OMS) Dev,Arvato,5500.0,9500.0,7500.0
Junior Software Engineer,ERLI,5000.0,9000.0,7000.0
Junior Java Dev,Sollers,7000.0,11000.0,9000.0
Jr QA Eng,WundermanThompson,6000.0,8000.0,7000.0
Angular Web Dev,KALASOFT,8000.0,16000.0,12000.0
JAVA DEVELOPER,KALASOFT,8000.0,16000.0,12000.0
Konsultant ds. ERP,KALASOFT,4000.0,6000.0,5000.0
Jr ServiceD. Cons,Systell,3200.0,3600.0,3400.0
Konsultant ERP ,KALASOFT,4000.0,6000.0,5000.0
Jr JS Support Eng,SPOC,4500.0,5000.0,4750.0
Junior python developer,F33.ai,5000.0,9000.0,7000.0
Jr Backend Dev,Guestline,6960.0,13920.0,10440.0
Junior .NET Dev,Quad IT,6000.0,9500.0,7750.0
Software Dev,TekMonks,8560.0,17120.0,12840.0
Junior Java Dev,Guestline,6960.0,13920.0,10440.0
Junior IT Administrator,BRAG,6000.0,8000.0,7000.0
Jr iOS Dev ,Grupa Blix,6000.0,9000.0,7500.0
Jr .NET ERP Dev,INLOGICA,5000.0,9000.0,7000.0
